name,price,description,image
"Amazon Brand - Solimo Fast Charging Braided Type C Data Cable Joint, Suitable For All Supported Mobile Phones (1 Meter, Black)",69,1 meter long braided Type C data cable with 2-in-1 feature     Supports high transfer speed of up to 480Mbps     Supports high charging up to 30W     Solid wire core with aluminum housing for safe and reliable charging     Works with all USB Type-C devices     Recommended to use with the original charger/adapter for maximum efficiency     6 Months Limited Warranty,https://m.media-amazon.com/images/I/51l7n5KbYqL._SX342_.jpg
"Amazon Brand - Solimo 2 Ply Kitchen Tissue Paper Roll, soft and highly absorbent - 4 Rolls (60 Pulls Per Roll, 240 Sheets)",239,"Soft touch tissues which can be used as table napkins, Safe for contact with food, Pack of 4 kitchen tissue rolls     Highly absorbent tissues that soak up spills quickly     Tissues made from 100 percent natural virgin paper     2 ply tissues with 60 sheets per roll     Free from optical brightening agent (OBA)",https://m.media-amazon.com/images/I/41Lh8l1P0qL._SX300_SY300_QL70_FMwebp_.jpg
"Amazon Brand - Solimo 100% Pure Coconut Oil, 1 L",215,"100% pure coconut oil, made from finest quality of sun-dried coconuts     Retains freshness for 18 months     Easy to store and convenient to use in all seasons",https://m.media-amazon.com/images/I/31i9HDnW3zL._SX300_SY300_QL70_FMwebp_.jpg
Amazon Brand - Solimo Designer Portfolio Zipper Folder with 10 Thick Leaves and 4 Rings,399,"Made of superior quality leatherette, this folder is sturdy while flaunting its overall aesthetic design.     The folder comes with 3 folders to organize everything in proper order.     The folder has built-in multiple card slots, giving you the ease of access to your business cards and store it properly.     This folder comes with 10 thick transparent leaves to store your documents without any damage.     The zipper compartment stores your daily essentials in place without letting it getting all over the place.",https://m.media-amazon.com/images/I/91W2TH6uJAL._SY741_.jpg
Amazon Brand - Solimo Microfiber Solid Pillow Cover (Grey),99,"Lightweight: Experience unparalleled comfort with our lightweight design, ensuring a feather-light feel that keeps you at ease all day.     Easy to Maintain: Enjoy hassle-free maintenance with easy-to-wash fabric; conveniently clean at home for a fresh and hygienic experience every time.     Airy & Comfortable: Stay cool and comfortable in any season with this breathable fabric, designed to enhance airflow and keep you feeling fresh throughout the day.     Wrinkle-Free Fabric: Step out with confidence as this high-quality brushed cotton material resists wrinkles, ensuring you look polished and put-together, no matter the occasion.     Great Quality Material: Indulge in the luxury of super-soft, high-quality brushed cotton that pampers your skin, providing a touch of opulence to your everyday wear.     Multifaceted: It is single-stitched, machine washable, and does not need any specific temperature to be washed.     Dimensions (L X W): 17"" X 27""     GSM: 125 GSM",https://m.media-amazon.com/images/I/31FkERhtnpL._SY300_SX300_QL70_FMwebp_.jpg
"Amazon Brand - Solimo Airtight Borosilicate Glass Container Set (Transparent , 3 pieces, 400ml)",499.38,"Imported 100% food-grade Borosilicate glass container; lead and cadmium-free, safe for storing food     100% food-safe plastic airtight lid; keeps the food fresh for long     Leak-proof with thick silicon gasket fitted inside the lid     Compatible with microwave use (without the lid on) as made with low thermal expansion borosilicate glass and freezer-safe     Lid has inwards sliding air vents for easy release of vacuum making it convenient to open the lid without any worries of spillage     Easy to maintain and dishwasher-friendly     Ideal to carry as tiffin and for storing left-overs",https://m.media-amazon.com/images/I/61jYB6LfRyL._SX425_.jpg
"Amazon Brand - Solimo Notebooks, Spiral-Bound, Lightweight, Vibrant Colours (A5, 100 Pages, 70 GSM, Set of 5)",299,"Solimo presents this set of five lightweight notebooks. These versatile books are suitable for use in the classroom or office, meeting a range of daily needs.     Each notebook contains 100 ruled pages of 70 gsm.     The paper is smooth and easy to write on using any writing instrument, including fountain pens, without ink penetration.     The cover is made from plastic.     The books are spiral-bound, which allow you to open them flat on any surface.     These aesthetically pleasing notebooks come in vibrant colours.     Dimensions: A5 size; No. of pages: 100     Package contents: Pack of 5 notebooks",https://m.media-amazon.com/images/I/912+mfE2XBL._SX355_.jpg
"Solimo Handwash Liquid Refill Can, Neem & Aloe - 5 Litre",409,"Protects against germs     Thick, foamy lather which cleans effectively     No Added Triclosan and Parabens     pH-balanced formula     Safe and gentle on hands     Refreshing Neem & Aloe fragrance     Net volume: 5 L",https://m.media-amazon.com/images/I/51cRrxETAuL._SY450_.jpg
"Amazon Brand - Solimo Stainless Steel Insulated 24 Hours Hot or Cold Bottle Flask, 1000 ml, Silver",679,"Made from 304 grade stainless steel; 100% food-safe     Double-walled insulation; keeps water or beverages hot up to 24 hours or cold up to 24 hours as per the requirement     Leak-proof and BPA free lid with steel exterior     Rust-free and condensation resistant     Contemporary design with a wide body and tapered mouth; easy to clean     Ideal for carrying to work, picnics, day-long trips where hot or cold beverages are needed     Package Contents: 1 Stainless Steel Insulated Flask; Capacity: 1000ml",https://m.media-amazon.com/images/I/71VJeH76FCL._SY879_.jpg
"Amazon Brand - Solimo Dinner Set | Stainless Steel | Mirror Finish | Set of 6",279,"This dinnerware set from Solimo is perfect for Indian households.     It is made from high-quality, durable stainless steel.     The depth of the dinner plate makes it a good substitute for a thali.     This product is dishwasher-safe.     It is suitable for personal use or gifting.     Package contents: 1 dinner plate, 2 prem vatis, 1 halwa plate, 1 Amrapali glass, 1 baby spoon",https://m.media-amazon.com/images/I/71pUFtzaEeL._SX425_.jpg
